playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
willite01,Ted Williams,1960,113,310,56,98,15,0,29,72.0,75,7.0,3.0,0.0
robinbr01,Brooks Robinson,1960,152,595,74,175,27,9,14,88.0,35,0.0,0.0,13.0
robinfr02,Frank Robinson,1960,139,464,86,138,33,6,31,83.0,82,6.0,9.0,0.0
aparilu01,Luis Aparicio,1960,153,600,86,166,20,7,2,61.0,43,3.0,1.0,20.0
musiast01,Stan Musial,1960,116,331,49,91,17,1,17,63.0,41,7.0,2.0,0.0
foxne01,Nellie Fox,1960,150,605,85,175,24,10,2,59.0,50,2.0,10.0,14.0
killeha01,Harmon Killebrew,1960,124,442,84,122,19,1,31,80.0,71,3.0,1.0,0.0
snidedu01,Duke Snider,1960,101,235,38,57,13,5,14,36.0,46,8.0,1.0,1.0
clemero01,Roberto Clemente,1960,144,570,89,179,22,6,16,94.0,39,4.0,2.0,4.0
aaronha01,Hank Aaron,1960,153,590,102,172,20,11,40,126.0,60,13.0,2.0,0.0
kalinal01,Al Kaline,1960,147,551,77,153,29,4,15,68.0,65,3.0,3.0,5.0
cepedor01,Orlando Cepeda,1960,151,569,81,169,36,3,24,96.0,34,9.0,8.0,0.0
berrayo01,Yogi Berra,1960,120,359,46,99,14,1,15,62.0,38,6.0,3.0,0.0
santoro01,Ron Santo,1960,95,347,44,87,24,2,9,44.0,31,5.0,0.0,2.0
mantlmi01,Mickey Mantle,1960,153,527,119,145,17,6,40,94.0,111,6.0,1.0,0.0
mccovwi01,Willie McCovey,1960,101,260,37,62,15,3,13,51.0,45,4.0,0.0,0.0
matheed01,Eddie Mathews,1960,153,548,108,152,19,7,39,124.0,111,3.0,2.0,4.0
willibi01,Billy Williams,1960,12,47,4,13,0,2,2,7.0,5,0.0,0.0,0.0
mazerbi01,Bill Mazeroski,1960,151,538,58,147,21,5,11,64.0,40,15.0,1.0,4.0
robinfr02,Frank Robinson,1961,153,545,117,176,32,7,37,124.0,71,23.0,10.0,0.0
ashburi01,Richie Ashburn,1961,109,307,49,79,7,4,0,19.0,55,2.0,3.0,1.0
yastrca01,Carl Yastrzemski,1961,148,583,71,155,31,6,11,80.0,50,3.0,3.0,2.0
schoere01,Red Schoendienst,1961,72,120,9,36,9,0,1,12.0,12,2.0,0.0,1.0
snidedu01,Duke Snider,1961,85,233,35,69,8,3,16,56.0,29,3.0,1.0,2.0
